,customer_state,total_order,total_revenue,state_name,state_label,revenue_share,cumulative_revenue,cumulative_share
25,SP,41746,7673188.55,Sao Paulo,SP - Sao Paulo,0.37483713584987116,7673188.55,0.37483713584987116
18,RJ,12852,2783724.26,Rio de Janeiro,RJ - Rio de Janeiro,0.13598561039063767,10456912.809999999,0.5108227462405088
10,MG,11635,2341861.47,Minas Gerais,MG - Minas Gerais,0.11440050511621654,12798774.28,0.6252232513567254
22,RS,5466,1152019.17,Rio Grande do Sul,RS - Rio Grande do Sul,0.05627641798622892,13950793.45,0.6814996693429543
17,PR,5045,1074614.19,Parana,PR - Parana,0.05249516579691363,15025407.639999999,0.7339948351398679
4,BA,3380,802416.72,Bahia,BA - Bahia,0.03919825286749249,15827824.36,0.7731930880073604
23,SC,3637,799135.92,Santa Catarina,SC - Santa Catarina,0.039037984985726935,16626960.28,0.8122310729930874
8,GO,2020,516182.51,Goias,GO - Goias,0.025215641758757186,17143142.79,0.8374467147518445
6,DF,2140,434512.55,Distrito Federal,DF - Distrito Federal,0.021226044254161323,17577655.34,0.8586727590060059
7,ES,2033,406946.26,Espirito Santo,ES - Espirito Santo,0.019879424250980646,17984601.6,0.8785521832569866
15,PE,1652,378887.48,Pernambuco,PE - Pernambuco,0.01850874599094471,18363489.080000002,0.8970609292479313
5,CE,1336,347678.36,Ceara,CE - Ceara,0.016984172852025175,18711167.44,0.9140451020999565
13,PA,975,262433.11,Para,PA - Para,0.012819921557195956,18973600.55,0.9268650236571524
12,MT,907,257447.65,Mato Grosso,MT - Mato Grosso,0.012576380617843684,19231048.2,0.939441404274996
9,MA,747,199913.56,Maranhao,MA - Maranhao,0.009765826261098638,19430961.759999998,0.9492072305360946
14,PB,536,181546.0,Paraiba,PB - Paraiba,0.00886856646641385,19612507.759999998,0.9580757970025084
11,MS,715,165861.46,Mato Grosso do Sul,MS - Mato Grosso do Sul,0.008102372854408482,19778369.22,0.966178169856917
16,PI,495,137077.67,Piaui,PI - Piaui,0.006696277678693796,19915446.89,0.9728744475356108
19,RN,485,117074.43000000001,Rio Grande do Norte,RN - Rio Grande do Norte,0.005719114516279707,20032521.32,0.9785935620518905
1,AL,413,111993.78,Alagoas,AL - Alagoas,0.005470923522164797,20144515.1,0.9840644855740553
24,SE,350,90651.44,Sergipe,SE - Sergipe,0.004428344997499957,20235166.540000003,0.9884928305715555
26,TO,280,72412.08,Tocantins,TO - Tocantins,0.0035373478041448286,20307578.62,0.9920301783757002
20,RO,253,69184.48,Rondonia,RO - Rondonia,0.0033796787553803426,20376763.1,0.9954098571310805
2,AM,148,34873.79,Amazonas,AM - Amazonas,0.0017035931639956742,20411636.89,0.9971134502950761
0,AC,81,24984.86,Acre,AC - Acre,0.0012205165168279375,20436621.75,0.9983339668119041
3,AP,68,21642.7,Amapa,AP - Amapa,0.0010572511840671512,20458264.45,0.9993912179959712
21,RR,46,12462.21,Roraima,RR - Roraima,0.0006087820040287714,20470726.66,1.0
